hs6_code,hs4_code,hs6_title,category,product_description
010121,0101,"Horses; live, pure-bred breeding animals",Horses,"Pure‑bred Arabian mare, registered for breeding"
010121,0101,"Horses; live, pure-bred breeding animals",Horses,"Pure‑bred Thoroughbred stallion, stud-registered"
010121,0101,"Horses; live, pure-bred breeding animals",Horses,Pure‑bred Warmblood filly with documented pedigree
010129,0101,"Horses; live, other than pure-bred breeding animals",Horses,"Local mixed‑breed foal, unregistered"
010129,0101,"Horses; live, other than pure-bred breeding animals",Horses,"Non‑purebred riding gelding, adult"
010129,0101,"Horses; live, other than pure-bred breeding animals",Horses,"Crossbred sport horse mare, unregistered"
010130,0101,Asses; live,Asses,Live adult donkey (male)
010130,0101,Asses; live,Asses,"Donkey foal, unweaned"
010130,0101,Asses; live,Asses,Live jenny (female donkey) for work
010190,0101,Mules and hinnies; live,Mules,"Pack mule, trained adult"
010190,0101,Mules and hinnies; live,Mules,"Live hinny, young"
010190,0101,Mules and hinnies; live,Mules,"Live mule gelding, adult"
010221,0102,"Cattle; live, pure-bred breeding animals",Cattle,"Pure‑bred Angus bull, breeding pedigree"
010221,0102,"Cattle; live, pure-bred breeding animals",Cattle,"Pure‑bred dairy Holstein cow, registered"
010221,0102,"Cattle; live, pure-bred breeding animals",Cattle,"Pure‑bred Jersey heifer, registered"
010229,0102,"Cattle; live, other than pure-bred breeding animals",Cattle,"Local mixed‑breed steer, adult"
010229,0102,"Cattle; live, other than pure-bred breeding animals",Cattle,"Crossbred beef cow, non‑purebred"
010229,0102,"Cattle; live, other than pure-bred breeding animals",Cattle,"Commercial beef heifer, non‑registered"
010231,0102,"Buffalo; live, pure-bred breeding animals",Buffalo,"Pure‑bred Murrah bull, breeding stock"
010231,0102,"Buffalo; live, pure-bred breeding animals",Buffalo,"Pure‑bred water buffalo cow, registered"
010231,0102,"Buffalo; live, pure-bred breeding animals",Buffalo,Pure‑bred buffalo calf with pedigree
010239,0102,"Buffalo; live, other than pure-bred breeding animals",Buffalo,"Local buffalo calf, unregistered"
010239,0102,"Buffalo; live, other than pure-bred breeding animals",Buffalo,"Non‑purebred buffalo cow, farm-bred"
010239,0102,"Buffalo; live, other than pure-bred breeding animals",Buffalo,"Crossbred buffalo bull, unregistered"
010290,0102,"Bovine animals; live, other than cattle and buffalo",Bovines,"Live other bovine species, adult"
010290,0102,"Bovine animals; live, other than cattle and buffalo",Bovines,"Live yak, adult (bovine, non-cattle)"
010290,0102,"Bovine animals; live, other than cattle and buffalo",Bovines,Live bison yearling
010310,0103,"Swine; live, pure-bred breeding animals",Swine,"Pure‑bred Yorkshire gilt, registered"
010310,0103,"Swine; live, pure-bred breeding animals",Swine,"Pure‑bred Duroc boar, breeding pedigree"
010310,0103,"Swine; live, pure-bred breeding animals",Swine,"Pure‑bred Landrace sow, registered for breeding"
010391,0103,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Swine,"Non‑purebred piglet, under 50kg, weaned"
010391,0103,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Swine,"Local farm piglet, under 50kg"
010391,0103,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Swine,"Commercial crossbred grower pig, <50kg"
010392,0103,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Swine,"Crossbred slaughter pig, ≥50kg"
010392,0103,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Swine,"Non‑purebred finishing pig, ≥50kg"
010392,0103,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Swine,"Commercial market hog, ≥50kg"
010410,0104,Sheep; live,Sheep,"Commercial lamb, live market animal"
010410,0104,Sheep; live,Sheep,"Hair sheep ram, live"
010410,0104,Sheep; live,Sheep,"Live adult sheep, breeding ewe"
010420,0104,Goats; live,Goats,"Young live goat kid, unweaned"
010420,0104,Goats; live,Goats,"Live dairy goat doe, adult"
010420,0104,Goats; live,Goats,"Live meat goat buck, adult"
010511,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Poultry,Day‑old hatchery pullet chick ≤185g
010511,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Poultry,Day‑old broiler chick (Gallus domesticus) ≤185g
010511,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Poultry,Day‑old layer chick (Gallus domesticus) ≤185g
010512,0105,"Poultry; live, turkeys, weighing not more than 185g",Poultry,"Young turkey poult, hatchery origin ≤185g"
010512,0105,"Poultry; live, turkeys, weighing not more than 185g",Poultry,"Turkey hatchling, unsexed ≤185g"
010512,0105,"Poultry; live, turkeys, weighing not more than 185g",Poultry,Day‑old turkey poult ≤185g
010513,0105,"Poultry; live, ducks, weighing not more than 185g",Poultry,Hatchery mallard duckling ≤185g
010513,0105,"Poultry; live, ducks, weighing not more than 185g",Poultry,"Domestic duckling, unsexed ≤185g"
010513,0105,"Poultry; live, ducks, weighing not more than 185g",Poultry,Day‑old duckling ≤185g
010514,0105,"Poultry; live, geese, weighing not more than 185g",Poultry,"Gosling, unsexed ≤185g"
010514,0105,"Poultry; live, geese, weighing not more than 185g",Poultry,Day‑old gosling ≤185g
010514,0105,"Poultry; live, geese, weighing not more than 185g",Poultry,Domestic goose hatchling ≤185g
010515,0105,"Poultry; live, guinea fowls, weighing not more than 185g",Poultry,Day‑old guinea fowl keet ≤185g
010515,0105,"Poultry; live, guinea fowls, weighing not more than 185g",Poultry,Young keet from hatchery ≤185g
010515,0105,"Poultry; live, guinea fowls, weighing not more than 185g",Poultry,"Guinea fowl hatchling, unsexed ≤185g"
010594,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",Poultry,"Rooster (male chicken), live, >185g"
010594,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",Poultry,"Layer hen, live, >185g"
010594,0105,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",Poultry,"Live broiler chicken, >185g, juvenile"
010599,0105,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",Poultry,"Live duck, >185g, adult"
010599,0105,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",Poultry,"Live turkey, >185g, adult"
010599,0105,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",Poultry,"Live goose, >185g, adult"
010611,0106,"Mammals; live, primates",Mammals,"Live chimpanzee specimen, juvenile"
010611,0106,"Mammals; live, primates",Mammals,"Live rhesus macaque (Macaca mulatta), adult"
010611,0106,"Mammals; live, primates",Mammals,"Live capuchin monkey, adult"
